epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1738,1.74448,3.87823,1.14586,0.00628,0.35183,0.01413,0.00376,1.513,3.87998,0.98042,0.00010003,0.00010003,0.00010003
2,95.8114,1.57184,2.48716,0.99949,0.02408,0.83597,0.2319,0.10419,1.53877,3.64712,0.95651,0.000210106,0.000210106,0.000210106
3,137.446,1.60974,1.6348,1.01505,0.01898,0.74984,0.31362,0.1172,1.58298,3.59116,0.96549,0.000315655,0.000315655,0.000315655
4,179.004,1.56657,1.56224,1.03384,0.01544,0.67672,0.32132,0.18584,1.42212,3.48565,0.96464,0.000416676,0.000416676,0.000416676
5,220.508,1.49826,1.42066,1.01239,0.02298,0.81066,0.39469,0.20891,1.46845,3.31732,0.96792,0.000513171,0.000513171,0.000513171
6,261.557,1.46815,1.36722,0.99488,0.02725,0.9387,0.3653,0.21911,1.40996,3.10994,0.96302,0.000605139,0.000605139,0.000605139
7,302.856,1.42203,1.21544,0.98585,0.02461,0.84674,0.39193,0.24154,1.36362,3.19477,0.96984,0.000692579,0.000692579,0.000692579
8,345.112,1.40672,1.13033,0.98929,0.39043,0.73079,0.49716,0.32083,1.42579,3.01517,0.98557,0.000775493,0.000775493,0.000775493
9,386.883,1.37778,1.10029,0.99285,0.0221,0.74368,0.47823,0.29506,1.42636,3.21528,1.00152,0.000853879,0.000853879,0.000853879
10,428.525,1.37808,1.03014,0.99102,0.45318,0.25339,0.54155,0.35519,1.39631,3.05436,0.98435,0.000927738,0.000927738,0.000927738
11,470.283,1.365,0.98712,1.0031,0.54074,0.47499,0.54973,0.37946,1.42779,3.01719,0.99327,0.00099707,0.00099707,0.00099707
12,513.406,1.37198,0.99831,0.98768,0.69452,0.63037,0.59518,0.39018,1.44682,2.94744,0.99031,0.00106188,0.00106188,0.00106188
13,554.967,1.39718,1.00189,0.99985,0.75749,0.6781,0.60825,0.39143,1.40823,2.86243,0.98831,0.00108947,0.00108947,0.00108947
14,596.942,1.37549,0.96978,0.9756,0.73022,0.66281,0.60471,0.39367,1.41113,2.85823,0.98134,0.00106118,0.00106118,0.00106118
15,639.231,1.36149,0.92648,0.98607,0.76109,0.73259,0.60936,0.38645,1.3858,2.79044,0.96824,0.00103288,0.00103288,0.00103288
16,681.925,1.413,0.91815,1.00186,0.75501,0.73601,0.6106,0.39206,1.31676,2.68272,0.94875,0.00100459,0.00100459,0.00100459
17,723.855,1.36275,0.90458,0.97657,0.74434,0.73647,0.61514,0.36854,1.49916,2.6885,0.99289,0.000976293,0.000976293,0.000976293
18,765.843,1.33039,0.86311,0.97186,0.70066,0.73263,0.61434,0.40453,1.31485,2.65643,0.95737,0.000947999,0.000947999,0.000947999
19,807.824,1.34816,0.87038,0.97865,0.75084,0.72917,0.61424,0.40208,1.37808,2.68136,0.9674,0.000919704,0.000919704,0.000919704
20,850.038,1.34002,0.88661,0.97373,0.75859,0.72535,0.61535,0.41228,1.44918,2.7501,0.98307,0.00089141,0.00089141,0.00089141
21,892.138,1.29325,0.83485,0.99137,0.75205,0.73647,0.6157,0.41676,1.3432,2.80066,0.96854,0.000863116,0.000863116,0.000863116
22,934.159,1.30572,0.83146,0.96051,0.76345,0.73647,0.6135,0.40773,1.34698,2.72357,0.97541,0.000834822,0.000834822,0.000834822
23,976.065,1.28153,0.80536,0.95201,0.77025,0.73064,0.61787,0.4038,1.43299,2.78737,0.98996,0.000806528,0.000806528,0.000806528
24,1018.64,1.27998,0.78023,0.95773,0.76897,0.73051,0.62092,0.40568,1.35691,2.8533,0.9665,0.000778233,0.000778233,0.000778233
25,1061.13,1.31391,0.86558,0.97112,0.76097,0.73218,0.6193,0.40866,1.33652,2.77219,0.95828,0.000749939,0.000749939,0.000749939
26,1103.35,1.27496,0.82475,0.96652,0.75093,0.73008,0.62128,0.4102,1.42495,2.81509,0.97349,0.000721645,0.000721645,0.000721645
27,1145.49,1.26055,0.78428,0.96264,0.76596,0.72535,0.62759,0.41584,1.37281,2.78071,0.96099,0.000693351,0.000693351,0.000693351
28,1189,1.24189,0.75649,0.95115,0.7713,0.72173,0.62973,0.41758,1.34431,2.69796,0.96455,0.000665057,0.000665057,0.000665057
29,1231.28,1.24307,0.77799,0.95058,0.78438,0.72872,0.63293,0.41962,1.37055,2.76531,0.97101,0.000636762,0.000636762,0.000636762
30,1273.3,1.20259,0.73804,0.9348,0.76746,0.73492,0.63228,0.43094,1.34833,2.88729,0.95746,0.000608468,0.000608468,0.000608468
31,1315.27,1.21342,0.72685,0.93348,0.76775,0.73647,0.63737,0.43799,1.34816,2.91409,0.9539,0.000580174,0.000580174,0.000580174
32,1357.69,1.2254,0.75551,0.95406,0.76975,0.73647,0.62934,0.43123,1.37453,2.78762,0.95678,0.00055188,0.00055188,0.00055188
33,1399.85,1.23496,0.75812,0.97601,0.7731,0.73647,0.6298,0.43052,1.37849,2.86863,0.9563,0.000523586,0.000523586,0.000523586
